image,pillars_and_stances,pillar,stance_list,stance,caption,pillar_w_definition,prediction
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4120.jpg,"['Economic Defence', ['Neutral', 'Neutral']]",Economic Defence,"['Neutral', 'Neutral']",Neutral,"The meme features a cartoon image of a group of birds flying over a city skyline. The text on the image reads, ""When a HDB flat finishes its 99-year lease: This is so sad."" The entities mentioned in the text are ""HDB"" and ""99-year lease.""
",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4123.jpg,"['Social Defence', ['Against', 'Against', 'Against']]",Social Defence,"['Against', 'Against', 'Against']",Against,"The meme features two images side by side. In the first image, a man and a woman are talking to each other, while in the second image, a child is playing with a toy. The text on the image reads ""Talking about RACE vs. Talking about Knees"" and ""Indian and Malay Singaporeans.""
","Singapore's Social Defence: Bonds that unite Singaporeans, built on trust and understanding among people of different races and religions, living in harmony and looking out for one another.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4126.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features a painting of two people holding up their fists, with the text ""making up 90% of NSFW vocabulary"" overlaid on the image. The entities mentioned in the text are ""awa shag bro"" and ""aiya downpes sua.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4127.jpg,"['Social Defence', ['Neutral', 'Neutral']]",Social Defence,"['Neutral', 'Neutral']",Neutral,"The meme features a collage of various images and captions, with the text ""Well, we must be equal in our satire, so here goes... Chinese admin"" overlaid on top. The images include a picture of a person holding a sign that reads ""Chinese admin,"" as well as an image of a man wearing a suit and tie, possibly representing a Chinese government official.
","Singapore's Social Defence: Bonds that unite Singaporeans, built on trust and understanding among people of different races and religions, living in harmony and looking out for one another.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4128.jpg,"['Psychological Defence', ['Supportive', 'Supportive']]",Psychological Defence,"['Supportive', 'Supportive']",Supportive,"The meme features an image of a man in a crowd of people, possibly at a political rally or event. The text on the image reads ""When you realize NDP only happens once a year & you need to wait 364 days for the next one."" The entities mentioned in the text are ""NDP"" and ""Singapore.""
","Singapore's Psychological Defence: The will and resolve to defend the Singaporean way of life and interests, the fighting spirit to overcome challenges together.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4131.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme features a black and white photo of a group of soldiers in military uniforms, standing in formation and holding their weapons. The text on the image reads ""How the SAF creates a dominating army,"" which refers to the Singapore Armed Forces.
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4133.jpg,"['Economic Defence', ['Neutral', 'Neutral']]",Economic Defence,"['Neutral', 'Neutral']",Neutral,"The meme features a collage of various images and captions. In the top left corner, there is a picture of a man in a military uniform, holding a gun. The caption reads ""Najen and NSF can now buy army gear on Lazada as Star's eMart on the platform.""
",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4138.jpg,"['Military Defence', ['Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral']",Neutral,"The image is a screenshot of a Facebook post featuring a photo of a large industrial building. The text on the post reads, ""Storm St. Kinetics. They can't stop all of us."" The entities mentioned in the text are ""Storm St. Kinetics"" and ""all of us.""
","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4139.jpg,"['Economic Defence', ['Against', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Against']",Against,"The meme features an image of a young black boy with a sad expression on his face. The text reads ""You're telling me the HBD that I worked hard and paid so much for is only mine for 99 years.""
",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4140.jpg,"['Economic Defence', ['Against', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Against']",Against,"The meme features a black child with a sad expression on his face, standing next to a woman. The text on the image reads ""You're telling me the HBD that I worked hard and paid so much for is only mine for 99 years.""
",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,against
