image,pillars_and_stances,pillar,stance_list,stance,caption,pillar_w_definition,prediction
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4120.jpg,"['Economic Defence', ['Neutral', 'Neutral']]",Economic Defence,"['Neutral', 'Neutral']",Neutral,"The meme shows a man wearing sunglasses and a tie, with a caption that reads ""This is so sad."" The man appears to be a cartoon character, and the scene is set in a city. There are several cars and a bus visible in the background, indicating a busy urban environment. Additionally, there are multiple birds flying around the scene, adding a touch of liveliness to the image.",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4123.jpg,"['Social Defence', ['Against', 'Against', 'Against']]",Social Defence,"['Against', 'Against', 'Against']",Against,"The meme shows two images side by side, each featuring a woman. The first image is a painting of a woman, while the second image is a picture of a woman in a blue shirt. The meme is accompanied by text that reads ""Race with Chai Knees vs Singaporeans."" The text is meant to be humorous and highlights the contrast between the two images.","Singapore's Social Defence: Bonds that unite Singaporeans, built on trust and understanding among people of different races and religions, living in harmony and looking out for one another.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4126.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme shows two men's arms holding hands, with a text above them. The text reads ""Making up 90% of nsfw vocabulary."" The meme also features a painting of two men holding hands, with the words ""Hag bro"" and ""Aya downpessua"" below them. The scene is set against a black background.","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4127.jpg,"['Social Defence', ['Neutral', 'Neutral']]",Social Defence,"['Neutral', 'Neutral']",Neutral,"The meme is a collage of various images and text, featuring a Chinese theme. It consists of several pictures of Chinese people, including a man in a martial arts pose, a man holding chopsticks, and a group of people in a pool. The meme also includes a picture of a dragon and a picture of a Singapore sign.

The text in the meme reads, ""Well, we must be equal in our satirire, so here goes... Chinese Administrator."" This suggests that the meme is a satirical commentary on Chinese culture, possibly poking fun at stereotypes or cultural differences. The inclusion of various elements, such as martial arts, chopsticks, and a Singapore sign, adds to the overall humor and satire of the meme.","Singapore's Social Defence: Bonds that unite Singaporeans, built on trust and understanding among people of different races and religions, living in harmony and looking out for one another.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4128.jpg,"['Psychological Defence', ['Supportive', 'Supportive']]",Psychological Defence,"['Supportive', 'Supportive']",Supportive,"The meme shows a man with a tear in his eye, looking up towards the sky. The man is wearing a red shirt and is surrounded by a crowd of people. The text in the meme reads ""When you realise that you're only 364 days away from the next one."" The meme also features a Singapore flag, indicating that the event might be taking place in Singapore.","Singapore's Psychological Defence: The will and resolve to defend the Singaporean way of life and interests, the fighting spirit to overcome challenges together.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4131.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Neutral']",Neutral,"The meme shows a man standing in front of a line of soldiers, all of whom are holding guns. The man is pointing upwards, possibly indicating a command or direction. The text in the meme reads ""How the SAF creates a dominating army,"" suggesting that the image represents a display of military strength or discipline. The soldiers are positioned in a row, with some of them holding guns in their hands, emphasizing their readiness for action.","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",supportive
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4133.jpg,"['Economic Defence', ['Neutral', 'Neutral']]",Economic Defence,"['Neutral', 'Neutral']",Neutral,"The meme is a collage of various images and text. It features a person wearing an orange helmet, possibly a motorcycle rider, and a man in a gas mask. The meme also includes a reference to the Army, as well as a reference to Lazada, a popular online shopping platform in Singapore. The text within the meme is a mix of different phrases and sentences, some of which are related to the images and others that are more general or humorous. The meme seems to be a combination of different elements, possibly to create a unique and engaging visual experience for the viewer.",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4138.jpg,"['Military Defence', ['Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral']",Neutral,"The meme shows a satellite image of a large building, possibly a warehouse, with a blue marker indicating a specific location. The text ""St. Kinetics Integrated Engineering Pte. Ltd."" is displayed above the image, suggesting that the building belongs to a company. The meme also includes a caption that reads ""Storm St. Kinetics, they can't stop us."" This caption adds a sense of humor or defiance to the scene, possibly referring to the company's success or determination.","Singapore's Military Defence: Strong and formidable defence force made up of Regulars and National Servicemen, and supported by the entire Singapore.",neutral
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4139.jpg,"['Economic Defence', ['Against', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Against']",Against,"The meme shows a woman and a young boy, with the woman looking at the boy. The boy is wearing a striped shirt, and the woman is wearing a black shirt. The meme is a text-based meme, with the text ""You're telling me that I worked hard and paid so much for HDB that I'm only mine for 99 years?"" written above the image. The text is in English, and it appears to be a commentary on the concept of home ownership in Singapore.",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,against
/content/drive/MyDrive/stance_detection_datasets/total_defense_memes/TD_Memes/img_4140.jpg,"['Economic Defence', ['Against', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Against']",Against,"The meme features a young boy and a woman, with the boy making a funny face. The boy is wearing a striped shirt, and the woman is wearing a black shirt. The meme also includes a text that says, ""You're telling me that I worked hard and paid so much for HDB that it's only mine for 99 years."" This text suggests that the boy is expressing his frustration or disappointment about the limited ownership of the HDB (Housing and Development Board) property.",Singapore's Economic Defence: Strong and resilient Singaporean economy that is globally competitive and able to bounce back from any crisis.,against
